Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;14207;Battery;NULL;NULL;NULL;NULL;NULL;NULL;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:06.1710
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;14207;NULL;NULL;NULL;1;NULL;NULL;TRUE;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:06.1746
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;14207;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:06.1776
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;14234;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:08.7322
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;14253;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:09.0753
NULL;NULL;0.7823;ReceivingData;NULL;anonymous;MotorImagery;14278;NULL;NULL;1;NULL;NULL;NULL;NULL;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:09.5470
NULL;NULL;NULL;NULL;(0.850 0.874 0.874 0.806 0.789 0.790 0.756 0.782 );anonymous;NULL;14278;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:09.5470
NULL;NULL;0.6278;ReceivingData;NULL;anonymous;Rest;14337;NULL;NULL;1;NULL;NULL;NULL;NULL;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:10.6438
NULL;NULL;NULL;NULL;(0.794 0.762 0.730 0.719 0.688 0.662 0.647 0.628 );anonymous;NULL;14337;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:10.6438
NULL;NULL;0.8329;ReceivingData;NULL;anonymous;MotorImagery;14437;NULL;NULL;2;NULL;NULL;NULL;NULL;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:12.5062
NULL;NULL;NULL;NULL;(0.776 0.830 0.818 0.821 0.833 0.654 0.641 0.660 );anonymous;NULL;14437;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:12.5062
NULL;NULL;0.6089;ReceivingData;NULL;anonymous;Rest;14511;NULL;NULL;2;NULL;NULL;NULL;NULL;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:13.8970
NULL;NULL;NULL;NULL;(0.655 0.609 0.761 0.763 0.752 0.748 0.716 0.704 );anonymous;NULL;14511;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:13.8970
NULL;NULL;0.7272;ReceivingData;NULL;anonymous;MotorImagery;14536;NULL;NULL;3;NULL;NULL;NULL;NULL;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:14.3624
NULL;NULL;NULL;NULL;(0.727 0.727 0.685 0.706 0.699 0.708 0.713 0.709 );anonymous;NULL;14536;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:14.3624
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;14557;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:14.7864
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;14967;NULL;NULL;NULL;1;NULL;NULL;FALSE;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:18.0970
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;14967;NULL;NULL;NULL;1;NULL;NULL;FALSE;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:18.0970
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;15084;NULL;NULL;NULL;1;NULL;NULL;FALSE;ba7a7f1f-29a8-4e70-a512-ec7e368788ea;NULL;NULL;2023-12-05 09:56:19.0481
