Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;10457;Battery;NULL;NULL;NULL;NULL;NULL;NULL;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:32.9462
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;10457;NULL;NULL;NULL;1;NULL;NULL;TRUE;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:32.9494
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;10457;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:32.9504
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;10485;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:35.5109
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;10489;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:35.5848
NULL;NULL;0.6968;ReceivingData;NULL;anonymous;MotorImagery;10547;NULL;NULL;1;NULL;NULL;NULL;NULL;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:36.6473
NULL;NULL;NULL;NULL;(0.669 0.677 0.675 0.740 0.697 0.673 0.685 0.656 );anonymous;NULL;10547;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:36.6473
NULL;NULL;0.6172;ReceivingData;NULL;anonymous;Rest;10549;NULL;NULL;1;NULL;NULL;NULL;NULL;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:36.6844
NULL;NULL;NULL;NULL;(0.669 0.677 0.675 0.740 0.697 0.670 0.617 0.656 );anonymous;NULL;10549;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:36.6844
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;10775;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:40.8102
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;11127;NULL;NULL;NULL;1;NULL;NULL;FALSE;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:43.5790
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11127;NULL;NULL;NULL;1;NULL;NULL;FALSE;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:43.5790
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11243;NULL;NULL;NULL;1;NULL;NULL;FALSE;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:44.4958
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11245;NULL;NULL;NULL;1;NULL;NULL;FALSE;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:44.5114
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11332;NULL;NULL;NULL;1;NULL;NULL;FALSE;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:45.2113
NULL;NULL;0.6991;ReceivingData;NULL;anonymous;MotorImagery;11333;NULL;NULL;2;NULL;NULL;NULL;NULL;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:45.2360
NULL;NULL;NULL;NULL;(0.731 0.758 0.758 0.699 0.640 0.694 0.651 0.675 );anonymous;NULL;11333;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:45.2371
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11381;NULL;NULL;NULL;1;NULL;NULL;FALSE;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:45.6160
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11397;NULL;NULL;NULL;1;NULL;NULL;FALSE;6062a2ba-6b12-4762-9218-e3e40f2fcabd;NULL;NULL;2023-12-04 12:58:45.7704
