Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;16740;Battery;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:15.0594
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;16740;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:15.0627
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;16740;NULL;NULL;NULL;1;NULL;NULL;TRUE;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:15.0638
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;16768;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:17.6580
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;16779;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:17.8602
NULL;NULL;0.7813;ReceivingData;NULL;anonymous;MotorImagery;17147;NULL;NULL;1;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:24.6505
NULL;NULL;NULL;NULL;(0.673 0.683 0.684 0.704 0.753 0.781 0.672 0.666 );anonymous;NULL;17147;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:24.6505
NULL;NULL;0.6180;ReceivingData;NULL;anonymous;Rest;17197;NULL;NULL;1;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:25.5608
NULL;NULL;NULL;NULL;(0.663 0.618 0.769 0.733 0.718 0.714 0.704 0.695 );anonymous;NULL;17197;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:25.5608
NULL;NULL;0.7021;ReceivingData;NULL;anonymous;MotorImagery;17670;NULL;NULL;2;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:34.2665
NULL;NULL;NULL;NULL;(0.698 0.685 0.681 0.671 0.683 0.702 0.660 0.686 );anonymous;NULL;17670;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:34.2665
NULL;NULL;0.6109;ReceivingData;NULL;anonymous;Rest;17694;NULL;NULL;2;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:34.7057
NULL;NULL;NULL;NULL;(0.698 0.695 0.702 0.658 0.611 0.702 0.710 0.696 );anonymous;NULL;17694;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:34.7062
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;17742;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:35.5871
NULL;NULL;0.6991;ReceivingData;NULL;anonymous;MotorImagery;17747;NULL;NULL;3;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:35.6293
NULL;NULL;NULL;NULL;(0.699 0.645 0.676 0.700 0.720 0.721 0.724 0.733 );anonymous;NULL;17747;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:35.6293
NULL;NULL;0.0023;ReceivingData;NULL;anonymous;Rest;17811;NULL;NULL;3;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:36.1205
NULL;NULL;NULL;NULL;(0.810 0.780 0.764 0.002 0.772 0.819 0.818 0.822 );anonymous;NULL;17811;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:36.1205
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;18181;NULL;NULL;NULL;1;NULL;NULL;FALSE;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:39.0123
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18181;NULL;NULL;NULL;1;NULL;NULL;FALSE;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:39.0123
NULL;NULL;0.7199;ReceivingData;NULL;anonymous;MotorImagery;18240;NULL;NULL;4;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:39.4879
NULL;NULL;NULL;NULL;(0.706 0.705 0.720 0.675 0.674 0.678 0.684 0.720 );anonymous;NULL;18240;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:39.4879
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18298;NULL;NULL;NULL;1;NULL;NULL;FALSE;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:39.9604
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18300;NULL;NULL;NULL;1;NULL;NULL;FALSE;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:39.9749
NULL;NULL;0.6200;ReceivingData;NULL;anonymous;Rest;18356;NULL;NULL;4;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:40.4346
NULL;NULL;NULL;NULL;(0.697 0.670 0.653 0.620 0.717 0.718 0.702 0.700 );anonymous;NULL;18356;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:40.4346
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18386;NULL;NULL;NULL;1;NULL;NULL;FALSE;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:40.6715
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18435;NULL;NULL;NULL;1;NULL;NULL;FALSE;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:41.0677
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18526;NULL;NULL;NULL;1;NULL;NULL;FALSE;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:41.8238
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;18542;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:41.9618
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;18543;NULL;NULL;NULL;2;NULL;NULL;TRUE;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:41.9687
NULL;NULL;0.6987;ReceivingData;NULL;anonymous;MotorImagery;18643;NULL;NULL;5;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:43.8091
NULL;NULL;NULL;NULL;(0.699 0.696 0.699 0.673 0.648 0.656 0.671 0.698 );anonymous;NULL;18643;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:43.8091
NULL;NULL;0.6375;ReceivingData;NULL;anonymous;Rest;18647;NULL;NULL;5;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:43.8833
NULL;NULL;NULL;NULL;(0.699 0.696 0.699 0.712 0.672 0.648 0.637 0.698 );anonymous;NULL;18647;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3eceecb1-84e4-48dd-bb5e-6841f9e467ac;NULL;NULL;2023-12-12 10:01:43.8833
