BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.6683;ReceivingData;anonymous;Sample;5409;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:11.9990
0.7150;ReceivingData;anonymous;Sample;5410;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:12.0206
0.6757;ReceivingData;anonymous;Sample;5438;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:12.4711
0.6560;ReceivingData;anonymous;Sample;5439;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:12.4847
0.6113;ReceivingData;anonymous;Sample;5440;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:12.4994
0.5185;ReceivingData;anonymous;Sample;5441;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:12.5125
0.5076;ReceivingData;anonymous;Sample;5442;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:12.5277
0.5509;ReceivingData;anonymous;Sample;5443;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:12.5409
0.5535;ReceivingData;anonymous;Sample;5444;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:12.5557
0.5920;ReceivingData;anonymous;Sample;5445;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:12.5689
0.5386;ReceivingData;anonymous;Sample;5475;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:12.9765
0.5293;ReceivingData;anonymous;Sample;5476;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:12.9895
0.5206;ReceivingData;anonymous;Sample;5477;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.0026
0.4961;ReceivingData;anonymous;Sample;5478;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.0166
0.4294;ReceivingData;anonymous;Sample;5479;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.0309
0.4366;ReceivingData;anonymous;Sample;5480;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.0445
0.3754;ReceivingData;anonymous;Sample;5481;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.0601
0.3077;ReceivingData;anonymous;Sample;5482;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.0734
0.2163;ReceivingData;anonymous;Sample;5483;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.0855
0.2109;ReceivingData;anonymous;Sample;5510;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.4466
0.2436;ReceivingData;anonymous;Sample;5511;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.4602
0.2567;ReceivingData;anonymous;Sample;5512;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.4744
0.3229;ReceivingData;anonymous;Sample;5513;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.4892
0.3795;ReceivingData;anonymous;Sample;5514;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.5029
0.3785;ReceivingData;anonymous;Sample;5515;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.5166
0.3866;ReceivingData;anonymous;Sample;5516;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.5307
0.3737;ReceivingData;anonymous;Sample;5517;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.5445
0.3559;ReceivingData;anonymous;Sample;5544;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.9153
0.3470;ReceivingData;anonymous;Sample;5545;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.9346
0.3977;ReceivingData;anonymous;Sample;5546;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.9468
0.3924;ReceivingData;anonymous;Sample;5547;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.9594
0.4347;ReceivingData;anonymous;Sample;5548;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.9727
0.4770;ReceivingData;anonymous;Sample;5549;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:13.9855
0.4976;ReceivingData;anonymous;Sample;5550;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.0000
0.5330;ReceivingData;anonymous;Sample;5580;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.4065
0.6411;ReceivingData;anonymous;Sample;5581;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.4192
0.6870;ReceivingData;anonymous;Sample;5582;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.4335
0.6489;ReceivingData;anonymous;Sample;5583;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.4466
0.5865;ReceivingData;anonymous;Sample;5584;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.4622
0.5534;ReceivingData;anonymous;Sample;5585;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.4744
0.5108;ReceivingData;anonymous;Sample;5586;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.4880
0.5404;ReceivingData;anonymous;Sample;5587;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.5024
0.5707;ReceivingData;anonymous;Sample;5616;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.8979
0.5910;ReceivingData;anonymous;Sample;5617;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.9116
0.6372;ReceivingData;anonymous;Sample;5618;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.9250
0.7301;ReceivingData;anonymous;Sample;5619;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.9389
0.7276;ReceivingData;anonymous;Sample;5620;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.9527
0.7792;ReceivingData;anonymous;Sample;5621;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.9675
0.7642;ReceivingData;anonymous;Sample;5622;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.9812
0.7450;ReceivingData;anonymous;Sample;5623;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:14.9949
0.7210;ReceivingData;anonymous;Sample;5624;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.0074
0.7479;ReceivingData;anonymous;Sample;5650;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.3524
0.7773;ReceivingData;anonymous;Sample;5651;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.3654
0.7921;ReceivingData;anonymous;Sample;5652;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.3936
0.7980;ReceivingData;anonymous;Sample;5653;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.4178
0.8371;ReceivingData;anonymous;Sample;5654;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.4453
0.8461;ReceivingData;anonymous;Sample;5655;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.4693
0.8180;ReceivingData;anonymous;Sample;5656;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.4965
0.8232;ReceivingData;anonymous;Sample;5657;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.5186
0.7634;ReceivingData;anonymous;Sample;5670;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.8475
0.7295;ReceivingData;anonymous;Sample;5671;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.8732
0.7290;ReceivingData;anonymous;Sample;5672;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.8993
0.7078;ReceivingData;anonymous;Sample;5673;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.9306
0.7642;ReceivingData;anonymous;Sample;5674;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.9544
0.7324;ReceivingData;anonymous;Sample;5675;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.9749
0.7391;ReceivingData;anonymous;Sample;5676;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:15.9992
0.7582;ReceivingData;anonymous;Sample;5689;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:16.3236
0.8191;ReceivingData;anonymous;Sample;5690;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:16.3453
0.7951;ReceivingData;anonymous;Sample;5691;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:16.3736
0.7801;ReceivingData;anonymous;Sample;5692;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:16.4001
0.7919;ReceivingData;anonymous;Sample;5693;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:16.4223
0.7320;ReceivingData;anonymous;Sample;5694;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:16.4474
0.6592;ReceivingData;anonymous;Sample;5695;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:16.4711
0.6115;ReceivingData;anonymous;Sample;5696;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:16.4962
0.6252;ReceivingData;anonymous;Sample;5706;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:16.7432
0.6335;ReceivingData;anonymous;Sample;5707;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:16.7657
0.6525;ReceivingData;anonymous;Sample;5708;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:16.7928
0.6636;ReceivingData;anonymous;Sample;5709;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:16.8167
0.6893;ReceivingData;anonymous;Sample;5710;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:16.8394
0.6401;ReceivingData;anonymous;Sample;5711;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:16.8670
0.6250;ReceivingData;anonymous;Sample;5712;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:16.8959
0.6611;ReceivingData;anonymous;Sample;5724;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:17.1986
0.7056;ReceivingData;anonymous;Sample;5725;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:17.2236
0.7229;ReceivingData;anonymous;Sample;5726;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:17.2465
0.6262;ReceivingData;anonymous;Sample;5727;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:17.2736
0.5842;ReceivingData;anonymous;Sample;5728;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:17.3009
0.5748;ReceivingData;anonymous;Sample;5729;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:17.3293
0.6268;ReceivingData;anonymous;Sample;5730;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:17.3491
0.7203;ReceivingData;anonymous;Sample;5731;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:17.3744
0.7908;ReceivingData;anonymous;Sample;5752;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:17.6871
0.7613;ReceivingData;anonymous;Sample;5753;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:17.7007
0.7806;ReceivingData;anonymous;Sample;5754;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:17.7136
0.8136;ReceivingData;anonymous;Sample;5755;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:17.7288
0.8134;ReceivingData;anonymous;Sample;5756;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:17.7365
0.7866;ReceivingData;anonymous;Sample;5757;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:17.7509
0.7699;ReceivingData;anonymous;Sample;5758;6aad3962-0b54-446b-92e9-0610d0ccaaf3;2023-12-05 12:38:17.7661
