Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;5384;Battery;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:09.2990
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;5384;NULL;NULL;NULL;1;NULL;NULL;TRUE;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:09.3010
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;5384;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:09.3035
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;5406;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:11.9063
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;5409;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:11.9990
NULL;NULL;0.7773;ReceivingData;NULL;anonymous;MotorImagery;5651;NULL;NULL;1;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:15.3654
NULL;NULL;NULL;NULL;(0.764 0.745 0.721 0.748 0.777 0.730 0.728 0.779 );anonymous;NULL;5651;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:15.3654
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;5651;NULL;NULL;NULL;NULL;20.0000;0.0000;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;0;2023-12-05 12:38:15.3664
NULL;1;NULL;NULL;NULL;anonymous;BciSuccess;5651;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;TRUE;NULL;2023-12-05 12:38:15.3664
NULL;NULL;0.6115;ReceivingData;NULL;anonymous;Rest;5696;NULL;NULL;1;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:16.4962
NULL;NULL;NULL;NULL;(0.659 0.611 0.758 0.819 0.795 0.780 0.792 0.732 );anonymous;NULL;5696;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:16.4962
NULL;NULL;0.7699;ReceivingData;NULL;anonymous;MotorImagery;5758;NULL;NULL;2;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:17.7671
NULL;NULL;NULL;NULL;(0.720 0.791 0.761 0.781 0.814 0.813 0.787 0.770 );anonymous;NULL;5758;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:17.7671
NULL;NULL;0.6396;ReceivingData;NULL;anonymous;Rest;5779;NULL;NULL;2;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:18.0523
NULL;NULL;NULL;NULL;(0.788 0.798 0.718 0.640 0.814 0.813 0.787 0.770 );anonymous;NULL;5779;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:18.0523
NULL;NULL;0.8633;ReceivingData;NULL;anonymous;MotorImagery;5929;NULL;NULL;3;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:20.0871
NULL;NULL;NULL;NULL;(0.851 0.875 0.863 0.708 0.790 0.813 0.819 0.848 );anonymous;NULL;5929;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:20.0871
NULL;2;NULL;NULL;NULL;anonymous;BciFail;6539;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;FALSE;NULL;2023-12-05 12:38:28.3076
NULL;NULL;0.5557;ReceivingData;NULL;anonymous;Rest;6588;NULL;NULL;3;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:29.5084
NULL;NULL;NULL;NULL;(0.861 0.788 0.643 0.556 0.918 0.921 0.924 0.920 );anonymous;NULL;6588;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:29.5084
NULL;NULL;0.8679;ReceivingData;NULL;anonymous;MotorImagery;6681;NULL;NULL;4;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:31.1928
NULL;NULL;NULL;NULL;(0.797 0.818 0.819 0.848 0.850 0.868 0.712 0.781 );anonymous;NULL;6681;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:31.1928
NULL;NULL;0.5793;ReceivingData;NULL;anonymous;Rest;6726;NULL;NULL;4;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:31.8163
NULL;NULL;NULL;NULL;(0.884 0.904 0.903 0.883 0.876 0.842 0.820 0.579 );anonymous;NULL;6726;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:31.8163
NULL;NULL;0.8622;ReceivingData;NULL;anonymous;MotorImagery;6927;NULL;NULL;5;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:34.6558
NULL;NULL;NULL;NULL;(0.807 0.839 0.808 0.804 0.838 0.862 0.678 0.765 );anonymous;NULL;6927;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:34.6558
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;6927;NULL;NULL;NULL;NULL;20.0000;1.0000;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;0;2023-12-05 12:38:34.6558
NULL;3;NULL;NULL;NULL;anonymous;BciSuccess;6927;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;TRUE;NULL;2023-12-05 12:38:34.6568
NULL;NULL;0.5811;ReceivingData;NULL;anonymous;Rest;6996;NULL;NULL;5;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:36.4248
NULL;NULL;NULL;NULL;(0.737 0.753 0.737 0.755 0.748 0.699 0.649 0.581 );anonymous;NULL;6996;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:36.4248
NULL;NULL;0.7543;ReceivingData;NULL;anonymous;MotorImagery;7096;NULL;NULL;6;NULL;NULL;NULL;NULL;6aad3962-0b54-446b-92e9-0610d0ccaaf3;NULL;NULL;2023-12-05 12:38:37.9368
