Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;11409;Battery;NULL;NULL;NULL;NULL;NULL;NULL;738a7213-a14a-4038-9bbc-88bee597decf;NULL;NULL;2023-12-06 13:48:39.8670
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;11409;NULL;NULL;NULL;1;NULL;NULL;TRUE;738a7213-a14a-4038-9bbc-88bee597decf;NULL;NULL;2023-12-06 13:48:39.8700
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;11409;NULL;NULL;NULL;NULL;NULL;NULL;NULL;738a7213-a14a-4038-9bbc-88bee597decf;NULL;NULL;2023-12-06 13:48:39.8730
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;11437;NULL;NULL;NULL;NULL;NULL;NULL;NULL;738a7213-a14a-4038-9bbc-88bee597decf;NULL;NULL;2023-12-06 13:48:42.4711
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;11461;NULL;NULL;NULL;NULL;NULL;NULL;NULL;738a7213-a14a-4038-9bbc-88bee597decf;NULL;NULL;2023-12-06 13:48:42.8448
NULL;NULL;0.7853;ReceivingData;NULL;anonymous;MotorImagery;11773;NULL;NULL;1;NULL;NULL;NULL;NULL;738a7213-a14a-4038-9bbc-88bee597decf;NULL;NULL;2023-12-06 13:48:45.2933
NULL;NULL;NULL;NULL;(0.777 0.789 0.773 0.770 0.773 0.781 0.785 0.707 );anonymous;NULL;11773;NULL;NULL;NULL;NULL;NULL;NULL;NULL;738a7213-a14a-4038-9bbc-88bee597decf;NULL;NULL;2023-12-06 13:48:45.2933
NULL;NULL;0.6389;ReceivingData;NULL;anonymous;Rest;12259;NULL;NULL;1;NULL;NULL;NULL;NULL;738a7213-a14a-4038-9bbc-88bee597decf;NULL;NULL;2023-12-06 13:48:49.1448
NULL;NULL;NULL;NULL;(0.666 0.678 0.665 0.662 0.658 0.647 0.639 0.671 );anonymous;NULL;12259;NULL;NULL;NULL;NULL;NULL;NULL;NULL;738a7213-a14a-4038-9bbc-88bee597decf;NULL;NULL;2023-12-06 13:48:49.1448
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;12259;NULL;NULL;NULL;NULL;20.0000;0.0000;NULL;738a7213-a14a-4038-9bbc-88bee597decf;NULL;0;2023-12-06 13:48:49.1448
NULL;1;NULL;NULL;NULL;anonymous;BciSuccess;12259;NULL;NULL;NULL;NULL;NULL;NULL;NULL;738a7213-a14a-4038-9bbc-88bee597decf;TRUE;NULL;2023-12-06 13:48:49.1462
NULL;NULL;0.8218;ReceivingData;NULL;anonymous;MotorImagery;12306;NULL;NULL;2;NULL;NULL;NULL;NULL;738a7213-a14a-4038-9bbc-88bee597decf;NULL;NULL;2023-12-06 13:48:50.0723
NULL;NULL;NULL;NULL;(0.822 0.658 0.686 0.717 0.713 0.727 0.742 0.793 );anonymous;NULL;12306;NULL;NULL;NULL;NULL;NULL;NULL;NULL;738a7213-a14a-4038-9bbc-88bee597decf;NULL;NULL;2023-12-06 13:48:50.0723
NULL;NULL;0.6269;ReceivingData;NULL;anonymous;Rest;12362;NULL;NULL;2;NULL;NULL;NULL;NULL;738a7213-a14a-4038-9bbc-88bee597decf;NULL;NULL;2023-12-06 13:48:51.1580
NULL;NULL;NULL;NULL;(0.788 0.784 0.763 0.746 0.725 0.698 0.669 0.627 );anonymous;NULL;12362;NULL;NULL;NULL;NULL;NULL;NULL;NULL;738a7213-a14a-4038-9bbc-88bee597decf;NULL;NULL;2023-12-06 13:48:51.1580
NULL;NULL;0.6709;ReceivingData;NULL;anonymous;MotorImagery;12530;NULL;NULL;3;NULL;NULL;NULL;NULL;738a7213-a14a-4038-9bbc-88bee597decf;NULL;NULL;2023-12-06 13:48:52.4888
NULL;NULL;NULL;NULL;(0.696 0.705 0.692 0.685 0.658 0.671 0.663 0.684 );anonymous;NULL;12530;NULL;NULL;NULL;NULL;NULL;NULL;NULL;738a7213-a14a-4038-9bbc-88bee597decf;NULL;NULL;2023-12-06 13:48:52.4888
