Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;6588;Battery;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:13.5552
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;6588;NULL;NULL;NULL;1;NULL;NULL;TRUE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:13.5582
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;6588;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:13.5602
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;6616;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:16.1389
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;6642;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:16.6253
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;6681;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:17.3749
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;7024;NULL;NULL;NULL;1;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:20.1712
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7024;NULL;NULL;NULL;1;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:20.1712
NULL;NULL;0.6837;ReceivingData;NULL;anonymous;MotorImagery;7110;NULL;NULL;1;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:20.9270
NULL;NULL;NULL;NULL;(0.656 0.643 0.684 0.733 0.773 0.722 0.700 0.717 );anonymous;NULL;7110;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:20.9270
NULL;NULL;0.6139;ReceivingData;NULL;anonymous;Rest;7111;NULL;NULL;1;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:20.9359
NULL;NULL;NULL;NULL;(0.656 0.643 0.684 0.614 0.773 0.722 0.700 0.717 );anonymous;NULL;7111;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:20.9359
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7132;NULL;NULL;NULL;1;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:21.1101
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7134;NULL;NULL;NULL;1;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:21.1273
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7215;NULL;NULL;NULL;1;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:21.8262
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7262;NULL;NULL;NULL;1;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:22.2347
NULL;NULL;0.7548;ReceivingData;NULL;anonymous;MotorImagery;7283;NULL;NULL;2;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:22.4469
NULL;NULL;NULL;NULL;(0.755 0.695 0.722 0.752 0.782 0.762 0.744 0.739 );anonymous;NULL;7283;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:22.4469
NULL;NULL;0.6266;ReceivingData;NULL;anonymous;Rest;7392;NULL;NULL;2;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:23.3658
NULL;NULL;NULL;NULL;(0.762 0.717 0.753 0.734 0.702 0.672 0.627 0.766 );anonymous;NULL;7392;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:23.3658
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7397;NULL;NULL;NULL;1;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:23.4073
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;7412;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:23.5539
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;7413;NULL;NULL;NULL;2;NULL;NULL;TRUE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:23.5616
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;7447;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:24.2565
NULL;NULL;0.7791;ReceivingData;NULL;anonymous;MotorImagery;7675;NULL;NULL;3;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:26.1991
NULL;NULL;NULL;NULL;(0.779 0.669 0.731 0.703 0.643 0.672 0.705 0.722 );anonymous;NULL;7675;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:26.1991
NULL;NULL;0.6365;ReceivingData;NULL;anonymous;Rest;7683;NULL;NULL;3;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:26.2690
NULL;NULL;NULL;NULL;(0.637 0.759 0.760 0.765 0.779 0.822 0.774 0.724 );anonymous;NULL;7683;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:26.2690
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;7702;NULL;NULL;NULL;2;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:26.4295
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7702;NULL;NULL;NULL;2;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:26.4295
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7718;NULL;NULL;NULL;2;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:26.5801
NULL;NULL;NULL;NULL;NULL;anonymous;Player Hurt;7733;NULL;NULL;NULL;NULL;19.0000;0.0000;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;1;2023-12-07 14:06:26.7186
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7734;NULL;NULL;NULL;2;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:26.7257
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7816;NULL;NULL;NULL;2;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:27.4398
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7832;NULL;NULL;NULL;2;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:27.5967
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7914;NULL;NULL;NULL;2;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:28.3430
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;8060;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:29.6438
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;8061;NULL;NULL;NULL;3;NULL;NULL;TRUE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:29.6539
NULL;1;NULL;NULL;NULL;anonymous;BciFail;9031;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;FALSE;NULL;2023-12-07 14:06:38.2059
NULL;NULL;0.8752;ReceivingData;NULL;anonymous;MotorImagery;9423;NULL;NULL;4;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:42.5418
NULL;NULL;NULL;NULL;(0.833 0.898 0.875 0.690 0.726 0.721 0.774 0.796 );anonymous;NULL;9423;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:42.5418
NULL;NULL;0.6332;ReceivingData;NULL;anonymous;Rest;9478;NULL;NULL;4;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:43.0156
NULL;NULL;NULL;NULL;(0.662 0.649 0.633 0.841 0.804 0.748 0.716 0.695 );anonymous;NULL;9478;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:43.0156
NULL;NULL;0.7535;ReceivingData;NULL;anonymous;MotorImagery;9647;NULL;NULL;5;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:44.4880
NULL;NULL;NULL;NULL;(0.749 0.742 0.744 0.757 0.732 0.754 0.675 0.697 );anonymous;NULL;9647;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:44.4880
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;9647;NULL;NULL;NULL;NULL;19.0000;0.0000;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;1;2023-12-07 14:06:44.4880
NULL;2;NULL;NULL;NULL;anonymous;BciSuccess;9647;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;TRUE;NULL;2023-12-07 14:06:44.4890
NULL;NULL;0.6242;ReceivingData;NULL;anonymous;Rest;9716;NULL;NULL;5;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:45.9289
NULL;NULL;NULL;NULL;(0.672 0.667 0.624 0.817 0.753 0.738 0.734 0.720 );anonymous;NULL;9716;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:45.9289
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9719;NULL;NULL;NULL;3;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:45.9956
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9761;NULL;NULL;NULL;3;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:46.3725
NULL;NULL;NULL;NULL;NULL;anonymous;Player Hurt;9762;NULL;NULL;NULL;NULL;18.0000;1.0000;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;2;2023-12-07 14:06:46.3914
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9763;NULL;NULL;NULL;3;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:46.4006
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9811;NULL;NULL;NULL;3;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:46.8415
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9919;NULL;NULL;NULL;3;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:47.8106
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10032;NULL;NULL;NULL;3;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:48.8217
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;10093;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:49.3679
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;10094;NULL;NULL;NULL;4;NULL;NULL;TRUE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:49.3967
1;NULL;NULL;NULL;NULL;anonymous;Player Attacking;10178;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:51.1498
NULL;NULL;NULL;NULL;NULL;anonymous;Goblin Death;10219;NULL;Goblin 2 Variant (1);NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:51.9803
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10269;NULL;NULL;NULL;4;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:52.9936
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10415;NULL;NULL;NULL;4;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:54.2684
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10480;NULL;NULL;NULL;4;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:54.8403
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10532;NULL;NULL;NULL;4;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:55.2884
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10641;NULL;NULL;NULL;4;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:56.2655
NULL;NULL;0.7280;ReceivingData;NULL;anonymous;MotorImagery;10662;NULL;NULL;6;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:56.4591
NULL;NULL;NULL;NULL;(0.777 0.798 0.793 0.728 0.679 0.731 0.728 0.711 );anonymous;NULL;10662;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:56.4591
NULL;NULL;0.6057;ReceivingData;NULL;anonymous;Rest;10668;NULL;NULL;6;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:56.5137
NULL;NULL;NULL;NULL;(0.674 0.606 0.793 0.728 0.730 0.757 0.719 0.696 );anonymous;NULL;10668;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:56.5137
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;10781;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:57.5447
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;10782;NULL;NULL;NULL;5;NULL;NULL;TRUE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:06:57.5535
NULL;NULL;0.6795;ReceivingData;NULL;anonymous;MotorImagery;11257;NULL;NULL;7;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:07:01.7590
NULL;NULL;NULL;NULL;(0.794 0.716 0.680 0.648 0.696 0.707 0.731 0.784 );anonymous;NULL;11257;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:07:01.7590
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;11257;NULL;NULL;NULL;NULL;18.0000;0.0000;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;2;2023-12-07 14:07:01.7590
NULL;3;NULL;NULL;NULL;anonymous;BciSuccess;11257;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;TRUE;NULL;2023-12-07 14:07:01.7600
NULL;NULL;0.6068;ReceivingData;NULL;anonymous;Rest;11260;NULL;NULL;7;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:07:01.8286
NULL;NULL;NULL;NULL;(0.794 0.716 0.680 0.697 0.648 0.607 0.731 0.784 );anonymous;NULL;11260;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:07:01.8286
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11331;NULL;NULL;NULL;5;NULL;NULL;FALSE;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;NULL;NULL;2023-12-07 14:07:03.2783
