BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.1936;ReceivingData;anonymous;Sample;6642;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:16.6253
0.2223;ReceivingData;anonymous;Sample;6643;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:16.6425
0.2392;ReceivingData;anonymous;Sample;6644;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:16.6592
0.2965;ReceivingData;anonymous;Sample;6645;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:16.6812
0.3169;ReceivingData;anonymous;Sample;6646;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:16.6969
0.4492;ReceivingData;anonymous;Sample;6647;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:16.7175
0.4613;ReceivingData;anonymous;Sample;6648;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:16.7389
0.4901;ReceivingData;anonymous;Sample;6649;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:16.7579
0.5386;ReceivingData;anonymous;Sample;6650;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:16.7738
0.5170;ReceivingData;anonymous;Sample;6666;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:17.0906
0.4706;ReceivingData;anonymous;Sample;6667;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:17.1066
0.4450;ReceivingData;anonymous;Sample;6668;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:17.1287
0.5168;ReceivingData;anonymous;Sample;6669;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:17.1449
0.5767;ReceivingData;anonymous;Sample;6670;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:17.1625
0.5489;ReceivingData;anonymous;Sample;6671;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:17.1818
0.5478;ReceivingData;anonymous;Sample;6672;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:17.1980
0.6067;ReceivingData;anonymous;Sample;6673;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:17.2186
0.6095;ReceivingData;anonymous;Sample;6701;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:17.5618
0.6164;ReceivingData;anonymous;Sample;6702;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:17.5698
0.6302;ReceivingData;anonymous;Sample;6703;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:17.5815
0.6300;ReceivingData;anonymous;Sample;6704;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:17.5892
0.6211;ReceivingData;anonymous;Sample;6705;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:17.5972
0.5545;ReceivingData;anonymous;Sample;6706;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:17.6063
0.5830;ReceivingData;anonymous;Sample;6762;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:18.0436
0.5620;ReceivingData;anonymous;Sample;6763;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:18.0499
0.5643;ReceivingData;anonymous;Sample;6764;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:18.0575
0.6118;ReceivingData;anonymous;Sample;6765;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:18.0649
0.6719;ReceivingData;anonymous;Sample;6766;fc2bb753-ad6a-4b6b-ba6e-b489e977d520;2023-12-07 14:06:18.0724
