BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.6905;ReceivingData;anonymous;Sample;6603;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.1120
0.6964;ReceivingData;anonymous;Sample;6604;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.1345
0.7186;ReceivingData;anonymous;Sample;6605;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.1599
0.7520;ReceivingData;anonymous;Sample;6606;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.1825
0.7668;ReceivingData;anonymous;Sample;6607;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.2033
0.7589;ReceivingData;anonymous;Sample;6608;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.2288
0.7790;ReceivingData;anonymous;Sample;6609;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.2577
0.7852;ReceivingData;anonymous;Sample;6610;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.2736
0.7962;ReceivingData;anonymous;Sample;6611;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.2829
0.7667;ReceivingData;anonymous;Sample;6644;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.5702
0.7002;ReceivingData;anonymous;Sample;6645;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.5788
0.6850;ReceivingData;anonymous;Sample;6646;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.5876
0.6683;ReceivingData;anonymous;Sample;6647;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.5944
0.6297;ReceivingData;anonymous;Sample;6648;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.6022
0.6151;ReceivingData;anonymous;Sample;6649;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.6124
0.6422;ReceivingData;anonymous;Sample;6650;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.6215
0.6517;ReceivingData;anonymous;Sample;6651;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:33.6313
0.6527;ReceivingData;anonymous;Sample;6707;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:34.0598
0.6137;ReceivingData;anonymous;Sample;6708;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:34.0668
0.5556;ReceivingData;anonymous;Sample;6709;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:34.0749
0.5452;ReceivingData;anonymous;Sample;6710;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:34.0850
0.5590;ReceivingData;anonymous;Sample;6711;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:34.0923
0.5607;ReceivingData;anonymous;Sample;6712;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:34.0994
0.5464;ReceivingData;anonymous;Sample;6713;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:34.1068
0.5528;ReceivingData;anonymous;Sample;6714;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:34.1145
0.5639;ReceivingData;anonymous;Sample;6715;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:34.1235
0.5980;ReceivingData;anonymous;Sample;6767;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:34.5278
0.6519;ReceivingData;anonymous;Sample;6768;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:34.5347
0.5871;ReceivingData;anonymous;Sample;6769;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:34.5417
0.5098;ReceivingData;anonymous;Sample;6770;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:34.5517
0.4913;ReceivingData;anonymous;Sample;6771;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:34.5581
0.4351;ReceivingData;anonymous;Sample;6772;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:34.5659
0.3881;ReceivingData;anonymous;Sample;6829;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.0148
0.4032;ReceivingData;anonymous;Sample;6830;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.0225
0.3936;ReceivingData;anonymous;Sample;6831;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.0291
0.3959;ReceivingData;anonymous;Sample;6832;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.0369
0.4024;ReceivingData;anonymous;Sample;6833;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.0455
0.4031;ReceivingData;anonymous;Sample;6834;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.0532
0.3815;ReceivingData;anonymous;Sample;6835;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.0611
0.3927;ReceivingData;anonymous;Sample;6836;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.0684
0.3730;ReceivingData;anonymous;Sample;6837;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.0752
0.3875;ReceivingData;anonymous;Sample;6890;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.4996
0.3830;ReceivingData;anonymous;Sample;6891;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.5076
0.3960;ReceivingData;anonymous;Sample;6892;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.5168
0.4244;ReceivingData;anonymous;Sample;6893;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.5233
0.4637;ReceivingData;anonymous;Sample;6894;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.5309
0.5251;ReceivingData;anonymous;Sample;6895;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.5375
0.5632;ReceivingData;anonymous;Sample;6896;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.5473
0.6058;ReceivingData;anonymous;Sample;6897;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.5550
0.6117;ReceivingData;anonymous;Sample;6950;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.9657
0.6135;ReceivingData;anonymous;Sample;6951;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.9721
0.6535;ReceivingData;anonymous;Sample;6952;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.9801
0.6796;ReceivingData;anonymous;Sample;6953;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.9899
0.6960;ReceivingData;anonymous;Sample;6954;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:35.9977
0.6924;ReceivingData;anonymous;Sample;6955;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:36.0070
0.7091;ReceivingData;anonymous;Sample;6956;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:36.0186
0.6954;ReceivingData;anonymous;Sample;6957;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:36.0261
0.6413;ReceivingData;anonymous;Sample;6958;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:36.0332
0.6216;ReceivingData;anonymous;Sample;7002;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:36.4527
0.5792;ReceivingData;anonymous;Sample;7003;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:36.4611
0.5645;ReceivingData;anonymous;Sample;7004;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:36.4702
0.5648;ReceivingData;anonymous;Sample;7005;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:36.4800
0.5684;ReceivingData;anonymous;Sample;7006;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:36.4898
0.5718;ReceivingData;anonymous;Sample;7007;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:36.4985
0.6157;ReceivingData;anonymous;Sample;7054;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:36.9389
0.6166;ReceivingData;anonymous;Sample;7055;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:36.9469
0.6173;ReceivingData;anonymous;Sample;7056;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:36.9556
0.6162;ReceivingData;anonymous;Sample;7057;55dc32b9-d0a3-4543-8182-7da14b07e274;2023-12-07 12:42:36.9649
