BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.1130;ReceivingData;anonymous;Sample;6726;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.2265
0.1249;ReceivingData;anonymous;Sample;6727;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.2430
0.1514;ReceivingData;anonymous;Sample;6728;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.2709
0.1601;ReceivingData;anonymous;Sample;6729;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.2886
0.1606;ReceivingData;anonymous;Sample;6730;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.3114
0.1289;ReceivingData;anonymous;Sample;6731;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.3283
0.1249;ReceivingData;anonymous;Sample;6732;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.3473
0.1388;ReceivingData;anonymous;Sample;6733;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.3815
0.1392;ReceivingData;anonymous;Sample;6750;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.6958
0.1397;ReceivingData;anonymous;Sample;6751;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.7186
0.1572;ReceivingData;anonymous;Sample;6752;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.7346
0.1847;ReceivingData;anonymous;Sample;6753;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.7517
0.2274;ReceivingData;anonymous;Sample;6754;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.7716
0.2152;ReceivingData;anonymous;Sample;6755;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.7887
0.2013;ReceivingData;anonymous;Sample;6756;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.8073
0.1827;ReceivingData;anonymous;Sample;6757;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.8252
0.2213;ReceivingData;anonymous;Sample;6758;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:50.8449
0.2314;ReceivingData;anonymous;Sample;6792;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:51.1664
0.2002;ReceivingData;anonymous;Sample;6793;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:51.1727
0.2494;ReceivingData;anonymous;Sample;6794;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:51.1820
0.2474;ReceivingData;anonymous;Sample;6795;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:51.1896
0.2468;ReceivingData;anonymous;Sample;6796;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:51.1975
0.2618;ReceivingData;anonymous;Sample;6797;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:51.2048
0.2621;ReceivingData;anonymous;Sample;6798;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:51.2116
0.2569;ReceivingData;anonymous;Sample;6799;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:51.2212
0.2550;ReceivingData;anonymous;Sample;6853;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:51.6530
0.2365;ReceivingData;anonymous;Sample;6854;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:51.6604
0.2345;ReceivingData;anonymous;Sample;6855;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:51.6669
0.2440;ReceivingData;anonymous;Sample;6856;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:51.6740
0.2468;ReceivingData;anonymous;Sample;6857;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:51.6821
0.2520;ReceivingData;anonymous;Sample;6858;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:51.6894
0.2786;ReceivingData;anonymous;Sample;6859;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:51.6975
0.2407;ReceivingData;anonymous;Sample;6914;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.1347
0.1995;ReceivingData;anonymous;Sample;6915;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.1431
0.1982;ReceivingData;anonymous;Sample;6916;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.1516
0.2080;ReceivingData;anonymous;Sample;6917;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.1602
0.1770;ReceivingData;anonymous;Sample;6918;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.1677
0.1792;ReceivingData;anonymous;Sample;6919;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.1762
0.1643;ReceivingData;anonymous;Sample;6920;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.1842
0.1895;ReceivingData;anonymous;Sample;6921;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.1918
0.1769;ReceivingData;anonymous;Sample;6972;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.6059
0.1768;ReceivingData;anonymous;Sample;6973;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.6132
0.1781;ReceivingData;anonymous;Sample;6974;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.6208
0.1842;ReceivingData;anonymous;Sample;6975;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.6282
0.1810;ReceivingData;anonymous;Sample;6976;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.6377
0.1431;ReceivingData;anonymous;Sample;6977;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.6463
0.1333;ReceivingData;anonymous;Sample;6978;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.6532
0.1948;ReceivingData;anonymous;Sample;6979;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.6608
0.1682;ReceivingData;anonymous;Sample;6980;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:52.6687
0.1507;ReceivingData;anonymous;Sample;7031;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:53.0898
0.1283;ReceivingData;anonymous;Sample;7032;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:53.0962
0.0996;ReceivingData;anonymous;Sample;7033;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:53.1038
0.1093;ReceivingData;anonymous;Sample;7034;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:53.1133
0.1351;ReceivingData;anonymous;Sample;7035;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:53.1215
0.2115;ReceivingData;anonymous;Sample;7036;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:53.1303
0.2531;ReceivingData;anonymous;Sample;7037;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:53.1386
0.3637;ReceivingData;anonymous;Sample;7038;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:53.1460
0.5731;ReceivingData;anonymous;Sample;7091;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:53.5757
0.5980;ReceivingData;anonymous;Sample;7092;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:53.5844
0.6083;ReceivingData;anonymous;Sample;7093;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:53.5920
0.6249;ReceivingData;anonymous;Sample;7094;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:53.6019
0.6535;ReceivingData;anonymous;Sample;7095;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:53.6136
0.6522;ReceivingData;anonymous;Sample;7096;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:53.6225
0.6806;ReceivingData;anonymous;Sample;7097;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:53.6298
0.6800;ReceivingData;anonymous;Sample;7151;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.0573
0.6944;ReceivingData;anonymous;Sample;7152;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.0657
0.7353;ReceivingData;anonymous;Sample;7153;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.0736
0.7960;ReceivingData;anonymous;Sample;7154;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.0815
0.8029;ReceivingData;anonymous;Sample;7155;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.0890
0.8368;ReceivingData;anonymous;Sample;7156;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.1083
0.8667;ReceivingData;anonymous;Sample;7157;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.1296
0.8728;ReceivingData;anonymous;Sample;7158;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.1495
0.8894;ReceivingData;anonymous;Sample;7177;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.5333
0.8512;ReceivingData;anonymous;Sample;7178;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.5532
0.8128;ReceivingData;anonymous;Sample;7179;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.5740
0.8313;ReceivingData;anonymous;Sample;7180;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.5926
0.8556;ReceivingData;anonymous;Sample;7181;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.6114
0.8489;ReceivingData;anonymous;Sample;7182;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.6297
0.8567;ReceivingData;anonymous;Sample;7183;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.6496
0.8789;ReceivingData;anonymous;Sample;7184;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.6695
0.8772;ReceivingData;anonymous;Sample;7185;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:54.6887
0.8696;ReceivingData;anonymous;Sample;7202;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:55.0096
0.8886;ReceivingData;anonymous;Sample;7203;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:55.0265
0.8947;ReceivingData;anonymous;Sample;7204;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:55.0502
0.9055;ReceivingData;anonymous;Sample;7205;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:55.0700
0.9140;ReceivingData;anonymous;Sample;7206;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:55.0898
0.9024;ReceivingData;anonymous;Sample;7207;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:55.1077
0.8644;ReceivingData;anonymous;Sample;7208;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:55.1258
0.8592;ReceivingData;anonymous;Sample;7209;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:55.1545
0.7663;ReceivingData;anonymous;Sample;7227;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:55.4933
0.7734;ReceivingData;anonymous;Sample;7228;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:55.5151
0.7933;ReceivingData;anonymous;Sample;7229;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:55.5327
0.7728;ReceivingData;anonymous;Sample;7230;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:55.5556
0.7569;ReceivingData;anonymous;Sample;7231;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:55.5777
0.7125;ReceivingData;anonymous;Sample;7232;340a6124-a864-4623-99b9-5fb80cb0a1ac;2023-12-06 10:10:55.5975
