Index,Success,Goblin Death,Player Hurt,Player Attacking,Player Moving,Min,Max,Median,Sd,Type
119,0,2,2,3,2,0.1164,0.5376,0.3303,0.1573380512811582,1
120,0,2,2,3,2,0.2559,0.4914,0.4136,0.0706325380300851,1
121,0,2,2,3,2,0.2757,0.4769,0.3709,0.0630445926838033,1
122,1,2,2,3,2,0.3545,0.9054,0.6168,0.1793302956903293,1
123,0,3,3,4,5,0.2836,0.5333,0.4569,0.0823006005879839,1
124,0,3,3,4,5,0.2281,0.5099,0.3726,0.0821839736433419,1
125,0,3,3,4,5,0.1351,0.2511,0.2087,0.0387095263284301,1
126,0,3,3,4,5,0.1982,0.3605,0.2195,0.0622895756775982,1
127,1,3,3,4,5,0.3882,0.7728,0.6385,0.1531901889808874,1
128,0,3,5,5,6,0.3217,0.5198,0.4426,0.0593256926594524,1
129,0,3,5,5,6,0.1098,0.3131,0.2826,0.0808429736028579,1
130,0,3,5,5,6,0.1228,0.2752,0.2024,0.0482426041704099,1
131,0,3,5,5,6,0.2173,0.445,0.4121,0.0722433803195836,1
132,1,3,5,5,6,0.2922,0.8292,0.6268,0.204404585495112,1
133,0,4,6,6,6,0.1279,0.2354,0.1758,0.0351481043314605,1
134,0,4,6,6,6,0.1078,0.5296,0.2878,0.1220224257296681,1
135,0,4,6,6,6,0.1475,0.4452,0.3214,0.0791006543829412,1
136,0,4,6,6,6,0.0864,0.1564,0.1218,0.0234244032296805,1
137,0,4,6,6,6,0.0815,0.1509,0.1003,0.0219333991893641,1
138,1,4,6,6,6,0.4735,0.6954,0.6174,0.0826361894663821,1
139,0,5,6,7,9,0.0538,0.3128,0.2096,0.0804751620954298,1
140,0,5,6,7,9,0.1332,0.241,0.1911,0.0284394796014273,1
141,0,5,6,7,9,0.0709,0.2469,0.11,0.0522611191176439,1
142,0,5,6,7,9,0.1914,0.3686,0.2205,0.0599978785339234,1
143,0,5,6,7,9,0.1661,0.3302,0.241,0.0521953947977715,1
144,0,5,6,7,9,0.3136,0.5776,0.4355,0.0890657959039271,1
145,1,5,6,7,9,0.4073,0.7376,0.6147,0.1123815685616683,1
146,1,0,0,0,0,0.5417,0.7184,0.6242,0.0658824588259453,0
147,0,0,0,0,0,0.3984,0.4657,0.4403,0.0226448816880695,0
148,1,0,0,0,0,0.5026,0.7857,0.6418,0.0822746341746435,0
149,0,0,0,0,0,0.0737,0.5996,0.1235,0.1932837300077642,0
150,1,0,0,0,0,0.5079,0.7269,0.6044,0.0825591966553754,0
151,0,0,0,0,0,0.4637,0.678,0.5459,0.0643730533686262,0
152,1,0,0,0,0,0.3338,0.7264,0.6227,0.1559867506583568,0
153,0,3,3,4,3,0.5421,0.7042,0.5851,0.0465237399716787,0
154,0,3,3,4,3,0.2297,0.3906,0.2934,0.0542815631244909,0
155,1,3,3,4,3,0.5086,0.7601,0.6064,0.0874846065371067,0
156,0,3,3,4,3,0.2833,0.5304,0.3697,0.0885989992419026,0
157,1,3,3,4,3,0.6506,0.7635,0.6921,0.0295381786845431,0
158,1,3,3,4,3,0.4467,0.7492,0.6228,0.1068801496113865,0
159,1,3,3,4,3,0.5781,0.7574,0.6981,0.0576911877400452,0
160,1,0,0,0,0,0.4242,0.7482,0.6091,0.1168509958797752,1
161,1,0,2,1,3,0.4953,0.7853,0.6063,0.1085476884446033,1
162,0,1,2,2,3,0.1585,0.6818,0.6104,0.1322720886225489,1
163,0,1,2,2,3,0.2189,0.4589,0.2588,0.0791623088524908,1
164,1,1,2,2,3,0.5263,0.7074,0.6503,0.0570998498872182,1
165,1,2,2,3,6,0.5201,0.6884,0.6204,0.0519837584525892,1
166,1,3,2,4,15,0.5382,0.7712,0.6799,0.0633491098144694,1
167,1,4,2,5,18,0.4902,0.7539,0.6404,0.1010410628455203,1
168,1,5,2,6,20,0.5207,0.7213,0.6364,0.0636186727605152,1
169,0,5,4,7,26,0.3452,0.4148,0.3802,0.0216440181992513,1
170,0,5,4,7,26,0.4272,0.586,0.4976,0.0470087144909881,1
171,1,5,4,7,26,0.345,0.7738,0.6238,0.146175099501542,1
172,1,0,0,0,2,0.3751,0.8275,0.6075,0.172536241327521,0
173,1,0,0,0,2,0.4836,0.8544,0.5895,0.1498907262292227,0
174,1,0,0,0,2,0.5288,0.7797,0.5852,0.0992505559538225,0
175,1,0,0,0,2,0.3453,0.7126,0.5853,0.1366285625161814,0
176,1,2,4,4,6,0.641,0.7837,0.7322,0.0375091506295781,0
177,1,2,4,4,6,0.3518,0.7282,0.6231,0.1248221695052605,0
178,1,2,4,4,6,0.3867,0.9168,0.6181,0.1760511430021996,0
179,1,2,4,4,6,0.4103,0.7978,0.5699,0.1476482831725771,0
180,1,0,1,0,2,0.3208,0.7108,0.5051,0.1508804042311405,1
181,1,1,2,1,3,0.691,0.8375,0.792,0.0459230546934865,1
182,1,2,2,2,5,0.3006,0.7993,0.6234,0.1720802678154255,1
183,1,2,3,3,7,0.6433,0.7864,0.7043,0.05200932334001,1
184,1,3,5,4,9,0.5863,0.791,0.7267,0.0671486800919812,1
185,1,4,6,5,11,0.5039,0.7824,0.6397,0.1088055421382569,1
186,1,4,7,6,12,0.4347,0.716,0.6121,0.0950330032898346,1
187,1,5,8,7,13,0.3826,0.7559,0.664,0.1063864751518636,1
188,1,0,0,0,3,0.5015,0.7027,0.582,0.0804484472607561,0
189,1,0,0,0,3,0.4918,0.777,0.6212,0.0964097490624558,0
190,1,0,0,0,3,0.6058,0.7338,0.6289,0.0431133036588586,0
191,1,0,0,0,3,0.5191,0.7339,0.6029,0.0835849770051555,0
192,1,3,1,4,5,0.5973,0.7405,0.6599,0.047296899123163,0
193,1,3,1,4,5,0.5118,0.8341,0.6345,0.1086799946544681,0
194,1,3,1,4,5,0.6753,0.8224,0.7571,0.035066328986243,0
195,1,3,1,4,5,0.5514,0.7011,0.6427,0.0450753475014996,0
196,0,0,0,0,0,0.3581,0.5046,0.4245,0.0456880082213932,1
197,1,0,0,0,0,0.596,0.7062,0.6423,0.0415355556234942,1
198,0,1,1,1,1,0.3204,0.422,0.3627,0.0289531345453303,1
199,1,1,1,1,1,0.3573,0.7097,0.619,0.1214095834453811,1
200,1,1,3,2,1,0.5853,0.7017,0.6145,0.0412706721650178,1
201,0,2,4,3,1,0.2985,0.4575,0.3686,0.0455582024395586,1
202,0,2,4,3,1,0.2908,0.4798,0.3804,0.0480678667045232,1
203,0,2,4,3,1,0.3733,0.5561,0.4725,0.0587928469896028,1
204,0,2,4,3,1,0.416,0.6199,0.5151,0.0725463989457781,1
205,0,2,4,3,1,0.3713,0.5164,0.4091,0.0449223138953714,1
206,0,2,4,3,1,0.1479,0.2581,0.1725,0.0341732811251296,1
207,0,2,4,3,1,0.1797,0.3924,0.2868,0.0714132260659246,1
208,0,2,4,3,1,0.164,0.5511,0.3356,0.1394543185146338,1
209,0,2,4,3,1,0.2497,0.3552,0.2815,0.0363146343319971,1
210,0,2,4,3,1,0.3016,0.5015,0.4166,0.0726389984460007,1
211,0,2,4,3,1,0.3761,0.5552,0.4491,0.0449225153008197,1
212,0,2,4,3,1,0.2536,0.5757,0.395,0.1164818861863243,1
213,0,2,4,3,1,0.1746,0.5348,0.2137,0.1151681668980915,1
214,1,2,4,3,1,0.3074,0.7234,0.6374,0.1613959968819667,1
215,1,3,5,4,5,0.411,0.7803,0.6267,0.1319653645036129,1
216,0,3,6,5,5,0.3864,0.6177,0.44,0.0671965333572952,1
217,1,3,6,5,5,0.5481,0.7376,0.6421,0.0465474545363065,1
218,1,4,7,6,6,0.6164,0.6857,0.6516,0.0217878144186804,1
219,1,5,8,7,9,0.4265,0.7866,0.567,0.1256383055024374,1
220,0,0,1,0,18,0.1159,0.1945,0.1459,0.0259855142797088,0
221,0,0,1,0,18,0.2055,0.2499,0.2179,0.0148386977993674,0
222,0,0,1,0,18,0.2894,0.4458,0.375,0.0434675576887932,0
223,0,0,1,0,18,0.1869,0.345,0.2667,0.044346200782136,0
224,0,0,1,0,18,0.2453,0.4096,0.3258,0.0485300446949643,0
225,1,0,1,0,18,0.1059,0.7593,0.5421,0.2688075346166224,0
226,0,0,1,0,18,0.462,0.5855,0.5129,0.0398542821980751,0
227,1,0,1,0,18,0.3762,0.7834,0.5907,0.1413970977003956,0
228,1,0,1,0,18,0.4063,0.8283,0.6387,0.1645159161499782,0
229,1,0,1,0,18,0.0261,0.8765,0.6393,0.3511989236885557,0
230,1,3,1,4,25,0.3717,0.893,0.5939,0.2001370846861387,0
231,0,3,1,4,25,0.2066,0.5377,0.3918,0.0979057014731643,0
232,1,3,1,4,25,0.4896,0.8002,0.5859,0.119265275751159,0
233,1,3,1,4,25,0.2392,0.7678,0.5933,0.1811907001187528,0
234,1,3,1,4,25,0.5075,0.7611,0.5942,0.0912890297482723,0
235,1,0,0,0,0,0.1351,0.796,0.6249,0.2056763576477328,1
236,1,1,1,1,2,0.3482,0.8438,0.5797,0.1913510180146374,1
237,0,2,1,2,5,0.2456,0.7073,0.5755,0.1499261065611037,1
238,1,2,1,2,5,0.6509,0.8985,0.7693,0.0704517916903534,1
239,1,2,3,3,6,0.5328,0.7839,0.6842,0.0865382398271478,1
240,1,3,4,4,6,0.1392,0.8181,0.6236,0.2298173680700975,1
241,1,4,4,5,9,0.3729,0.8108,0.5891,0.1657186333173534,1
242,1,5,4,6,12,0.1027,0.8408,0.5464,0.2824032538933002,1
243,1,5,5,7,13,0.5278,0.712,0.6524,0.0511223294796762,1
244,1,0,0,0,0,0.5108,0.7792,0.6489,0.0925009379617824,0
245,0,0,0,0,0,0.8406,0.9154,0.8694,0.0273225408425943,0
246,1,0,0,0,0,0.4252,0.8392,0.6059,0.1672640504454814,0
247,1,0,0,0,0,0.4651,0.7283,0.6346,0.0827172072845328,0
248,1,0,0,0,0,0.6442,0.7618,0.7216,0.0314777578314472,0
249,1,4,1,4,9,0.6537,0.7671,0.6924,0.0343943073916655,0
250,1,4,1,4,9,0.481,0.7609,0.6133,0.1047906675234011,0
251,1,4,1,4,9,0.5546,0.8157,0.6521,0.1053642570640853,0
252,1,4,1,4,9,0.5927,0.7046,0.6486,0.0349167922488933,0
253,1,0,0,0,1,0.6708,0.8628,0.8336,0.0687595832281892,1
254,1,0,1,1,3,0.5482,0.7375,0.6827,0.0594197498031308,1
255,1,1,2,2,3,0.5548,0.9103,0.6375,0.1347070666651301,1
256,1,2,3,3,3,0.6172,0.7979,0.6836,0.0686383989434763,1
257,0,2,4,4,5,0.337,0.628,0.5294,0.0922272787865984,1
258,1,2,4,4,5,0.6224,0.7921,0.663,0.0649926354802347,1
259,1,3,5,5,5,0.5309,0.7992,0.6213,0.1008087685150642,1
260,1,4,5,6,8,0.4225,0.7086,0.6032,0.0998587550111704,1
261,1,5,5,7,11,0.6485,0.785,0.712,0.0408155374243448,1
262,1,0,0,0,0,0.3985,0.8787,0.6012,0.1773701448545224,0
263,1,0,0,0,0,0.4802,0.7519,0.6445,0.0992511475284507,0
264,1,0,0,0,0,0.4908,0.8601,0.63,0.1361789078836401,0
265,0,0,0,0,0,0.412,0.5867,0.4804,0.0506744652519533,0
266,0,0,0,0,0,0.2274,0.6756,0.3837,0.1595805519837194,0
267,1,0,0,0,0,0.3735,0.7202,0.6484,0.1203770651308786,0
268,1,3,3,4,4,0.5092,0.7535,0.6457,0.0790165485982585,0
269,1,3,3,4,4,0.4884,0.7849,0.6561,0.0803853741731192,0
270,1,3,3,4,4,0.5415,0.7418,0.6602,0.0582733198773144,0
271,1,3,3,4,4,0.5503,0.8431,0.6292,0.1007379003723453,0
272,1,0,0,0,1,0.3926,0.7741,0.6216,0.1445630404587101,1
273,1,1,1,1,2,0.5806,0.7903,0.6691,0.0635156426177273,1
274,1,2,1,2,4,0.3523,0.8016,0.6931,0.1471584736974136,1
275,0,2,3,3,5,0.3065,0.5186,0.4302,0.0635407480807919,1
276,1,2,3,3,5,0.3164,0.8254,0.6109,0.1960028420590836,1
277,1,3,4,4,5,0.6709,0.9015,0.8479,0.0895253951733941,1
278,1,4,4,5,8,0.5323,0.7756,0.6406,0.0785515978437709,1
279,1,4,5,6,11,0.6713,0.8018,0.7472,0.0422829111039976,1
280,1,5,6,7,13,0.4395,0.7858,0.5243,0.1339657187847839,1
281,1,0,0,0,0,0.4716,0.701,0.5628,0.0893143682783032,0
282,1,0,0,0,0,0.6127,0.8162,0.6731,0.0757141334230274,0
283,1,0,0,0,0,0.5374,0.7099,0.6368,0.055099837524607,0
284,1,0,0,0,0,0.5888,0.7253,0.6523,0.0466887852344293,0
285,1,3,3,4,24,0.6064,0.7257,0.683,0.0309826418376176,0
286,1,3,3,4,24,0.6509,0.7685,0.7158,0.0448342853501329,0
287,1,3,3,4,24,0.6456,0.7254,0.7034,0.0239279473976909,0
288,1,3,3,4,24,0.4457,0.6958,0.6121,0.0856359943237043,0
289,1,0,0,0,0,0.5677,0.767,0.638,0.0578907937413195,1
290,1,1,1,1,1,0.5794,0.7493,0.6489,0.052626485274821,1
291,1,2,1,2,3,0.5323,0.7501,0.6186,0.0791425314588451,1
292,1,3,2,3,4,0.6236,0.7447,0.6657,0.0420522260324672,1
293,1,4,3,4,6,0.6417,0.7419,0.704,0.027269501540837,1
294,1,4,3,5,15,0.5344,0.7347,0.6184,0.0722131468046405,1
295,1,5,3,6,15,0.4717,0.7038,0.6227,0.0772003836654665,1
296,1,5,4,7,23,0.5555,0.7835,0.6349,0.0899943553785458,1
297,0,0,0,0,2,0.1043,0.2825,0.1734,0.0540875040581287,0
298,0,0,0,0,2,0.2796,0.6045,0.5628,0.093768076098628,0
299,1,0,0,0,2,0.3719,0.7435,0.553,0.1390519834279184,0
300,1,0,0,0,2,0.5423,0.7218,0.6703,0.0585343757364605,0
301,1,0,0,0,2,0.2986,0.7074,0.4649,0.1780285485399409,0
302,1,0,0,0,2,0.4611,0.8163,0.6222,0.1207505389912056,0
