,Unnamed: 0,Index,Frame,Success,Goblin Death,Player Hurt,Player Attacking,Player Moving,Threshbuffer,Type
44,3,168,16842,1,2,2,3,10,[0.6178 0.643  0.6656 0.6826 0.6771 0.6764 0.6722 0.6993],1
45,4,192,17959,1,3,3,4,10,[0.619  0.6545 0.6682 0.6566 0.6583 0.6541 0.6598 0.6829],1
46,5,239,21156,1,3,4,5,13,[0.5956 0.6446 0.6594 0.6806 0.6741 0.719  0.7553 0.7653],1
47,6,267,23026,1,4,5,6,14,[0.5938 0.658  0.6772 0.6568 0.646  0.6608 0.6645 0.695 ],1
48,7,334,27962,1,5,6,7,24,[0.5814 0.6531 0.6751 0.6504 0.6587 0.6837 0.6909 0.6974],1
49,0,8,15642,1,0,0,0,0,[0.6345 0.6969 0.6896 0.6766 0.6451 0.6448 0.7217 0.7619],0
50,1,18,16802,1,0,0,0,0,[0.631  0.6613 0.741  0.7116 0.6982 0.6932 0.7359 0.7363],0
51,2,28,17416,1,0,0,0,0,[0.5986 0.6688 0.7209 0.7364 0.717  0.7248 0.7254 0.7132],0
52,3,42,18031,1,0,0,0,0,[0.5909 0.6513 0.7744 0.8251 0.7882 0.8155 0.7168 0.6724],0
53,4,309,31488,1,3,2,4,15,[0.7896 0.7577 0.6951 0.6685 0.6466 0.6474 0.6732 0.655 ],0
54,5,317,32553,1,3,2,4,15,[0.629  0.7374 0.7826 0.7828 0.7947 0.8067 0.7082 0.6969],0
55,6,323,33147,1,3,2,4,15,[0.6088 0.7376 0.7113 0.7262 0.7207 0.7593 0.7632 0.7456],0
56,7,337,33645,1,3,2,4,15,[0.5802 0.6408 0.6679 0.7069 0.7198 0.773  0.754  0.7289],0
57,0,38,9031,0,0,1,0,2,[0.0602 0.0526 0.0443 0.0483 0.0602 0.0655 0.0655 0.0685],1
58,1,46,9647,1,0,1,0,2,[0.6248 0.6748 0.6967 0.7486 0.7422 0.7439 0.7571 0.7324],1
59,2,74,11257,1,1,2,1,2,[0.6099 0.6482 0.6962 0.7066 0.7309 0.784  0.7942 0.7165],1
